item,kod
Q1294047,sas
Q3099986,gba
Q12642598,cai
Q2760613,day
Q5128301,nwc
Q2997506,cmc
Q5583349,doi
Q18546266,nqo
Q837985,gmh
Q1322020,ijo
Q1517194,nub
Q1478672,men
Q973685,chm
Q2600085,osa
Q2574767,kam
Q5414796,luo
Q169921,cau
Q9040772,hmn
Q2665761,del
Q1405077,kua
Q2655664,arw
Q3847648,tog
Q205979,sog
Q149208,frs
Q192170,pra
Q1998595,btk
Q2638144,suk
Q3217483,mno
Q6583551,kho
Q4121131,nym
Q609817,zbl
Q384707,afh
Q1860,eng
Q5146,por
Q1571,mar
Q7026,cat
Q8097,tel
Q294,ice
Q1321,spa
Q5111,abk
Q5287,jpn
Q7913,rum
Q7737,rus
Q4627,aym
Q397,lat
Q7930,mlg
Q7838,swa
Q8108,geo
Q5885,tam
Q809,pol
Q1568,hin
Q1412,fin
Q5137,guj
Q7411,dut
Q5218,que
Q652,ita
Q33690,csb
Q33714,krc
Q33845,nap
Q33856,pap
Q33868,mni
Q33879,pag
Q33890,nso
Q33965,sat
Q33973,scn
Q33989,srn
Q34125,tet
Q34138,tum
Q34159,tpi
Q34279,war
Q34299,sah
Q35243,bra
Q33673,kan
Q33864,orm
Q33947,sme
Q34014,ssw
Q34055,tvl
Q34094,ton
Q34257,wol
Q35250,eka
Q35224,ido
Q33730,arn
Q34070,tup
Q33702,kon
Q33776,pau
Q33705,ssa
Q35141,ada
Q35173,chn
Q33790,niu
Q33810,ori
Q34002,sun
Q33728,mag
Q35257,grb
Q33786,sid
Q33823,nep
Q33587,kik
Q33997,snd
Q34004,sna
Q35222,fro
Q33573,kin
Q33875,oji
Q33990,sus
Q34173,lua
Q34239,kok
Q34128,tah
Q34131,tiv
Q34198,was
Q34219,wln
Q35225,peo
Q34029,yap
Q34311,yor
Q33617,hmo
Q33607,lun
Q33968,oss
Q33985,sal
Q34011,smo
Q33954,sag
Q34228,sgn
Q35308,sga
Q33578,ibo
Q33628,loz
Q33643,mak
Q33976,srd
Q34065,tmh
Q34926,ach
Q33892,mun
Q34271,tib
Q33583,run
Q33638,mnc
Q34057,tgl
Q34181,sio
Q34124,tir
Q35218,goh
Q34016,sad
Q33584,kha
Q33614,khi
Q33900,ndo
Q34137,tsn
Q34327,tso
Q34008,sel
Q33794,nyo
Q34340,sot
Q33871,nog
Q34097,tkl
Q33738,myn
Q27683,ace
Q27776,ady
Q28224,frr
Q28602,arc
Q29316,rup
Q29507,ast
Q29579,awa
Q31746,lez
Q33070,ban
Q33190,bug
Q33239,ceb
Q33268,bho
Q33265,chy
Q33388,chr
Q33441,fur
Q33462,smn
Q33509,inh
Q33522,kbd
Q33541,kaa
Q27692,chp
Q27969,ain
Q28026,aka
Q28422,pon
Q33093,bas
Q33251,chu
Q33248,cus
Q33295,fij
Q33348,chv
Q33357,crh
Q33332,kac
Q33492,kru
Q33538,syc
Q33464,kos
Q27758,apa
Q33049,bal
Q33315,her
Q28378,anp
Q33424,iba
Q33161,chk
Q32063,pal
Q32979,cho
Q33215,art
Q32332,dar
Q150,fre
Q33535,kro
Q27970,ypk
Q30898,gil
Q33013,dua
Q33491,hat
Q33111,cos
Q33368,lug
Q33136,bat
Q33350,che
Q29561,ava
Q33291,fon
Q33286,gay
Q32858,vot
Q188,ger
Q33287,gaa
Q33390,cre
Q27475,ath
Q27811,aar
Q28058,hup
Q32656,div
Q33060,bla
Q29401,asm
Q33484,fan
Q33243,bam
Q33454,ful
Q27210,ale
Q32704,ven
Q33120,bua
Q33298,fil
Q33311,dra
Q33549,jav
Q33052,bem
Q33262,cha
Q32706,dyu
Q33273,nya
Q33434,kut
Q143,epo
Q30005,ewe
Q28244,amh
Q29572,ave
Q29921,iku
Q33303,hai
Q33025,bej
Q33367,jpr
Q33552,kas
Q27792,tli
Q33081,dzo
Q35722,got
Q35853,kab
Q35936,ilo
Q36109,mai
Q36196,lad
Q36213,mad
Q36350,jbo
Q42365,ang
Q36746,rap
Q79890,fiu
Q205143,aus
Q3915427,pei
Q7079491,arc
Q806005,bai
Q7598268,zgh
Q4200688,nai
Q14507109,cpp
Q337657,mkh
Q806234,bad
Q22282914,und
Q22282939,zxx
Q12645574,him
Q19682167,crp
Q135305,bih
Q54801970,sai
Q13248,hsb
Q13286,dsb
Q14549,sco
Q6654,hrv
Q7918,bul
Q25433,nds
Q29952,myv
Q33634,xal
Q33979,new
Q34119,tyv
Q49228,map
Q56959,xal
Q33260,cpf
Q33392,alg
Q33527,ira
Q35499,chu
Q36510,ell
Q36510,gre
Q37845,tut
Q45961,sit
Q34235,iii
Q256,tur
Q7850,chi
Q33623,iro
Q9610,ben
Q9240,ind
Q33838,nic
Q50868,egy
Q9299,scc
Q33577,inc
Q9168,fas
Q9142,gle
Q19814,roa
Q9303,bos
Q34129,tig
Q33860,omv
Q21200,gem
Q9168,per
Q35505,non
Q13216,zha
Q33146,bnt
Q31989,cpe
Q34049,sem
Q9314,gla
Q9299,srp
Q36931,uby
Q1617,urd
Q32730,dgo
Q7850,zho
